D_code,D_name,Nama_Pemenang,Parti_Pemenang,Undi_Menang,Oppo.Nama,Oppo.Parti,Oppo.Undi,Majoriti,Penyandang.Nama,Penyandang.Parti
N79,Bukit Kota,"Abdul Rahman bin Ismail, Datuk Dr Haji",GPS (PBB),6454,Rosli bin Amat,PSB,1468,4986,"Abdul Rahman Ismail, Datuk Dr Haji",GPS (PBB)
N79,Bukit Kota,"Abdul Rahman bin Ismail, Datuk Dr Haji",GPS (PBB),6454,Lim Lian Hun,PBK,206,4986,"Abdul Rahman Ismail, Datuk Dr Haji",GPS (PBB)
N79,Bukit Kota,"Abdul Rahman bin Ismail, Datuk Dr Haji",GPS (PBB),6454,Herun bin Bungsu,Bebas,62,4986,"Abdul Rahman Ismail, Datuk Dr Haji",GPS (PBB)
N80,Batu Danau,Paulus Palu ak. Gumbang,GPS (PBB),3030,Ali ak. Adap,PSB,2324,706,Palu @ Paulus ak. Gumbang,GPS (PDP)
N80,Batu Danau,Paulus Palu ak. Gumbang,GPS (PBB),3030,Racha Balang,PKR,268,706,Palu @ Paulus ak. Gumbang,GPS (PDP)
N80,Batu Danau,Paulus Palu ak. Gumbang,GPS (PBB),3030,"Petrus Bulan, Profesor Dr.",PBK,80,706,Palu @ Paulus ak. Gumbang,GPS (PDP)
N81,Ba'kelalan,Baru Bian,PSB,2687,Sam Laya,GPS (PDP),2007,680,Baru Bian,PSB
N81,Ba'kelalan,Baru Bian,PSB,2687,Peter @ Pita Asut,PBK,110,680,Baru Bian,PSB
N81,Ba'kelalan,Baru Bian,PSB,2687,Martin Samuel Labo,PKR,57,680,Baru Bian,PSB
N81,Ba'kelalan,Baru Bian,PSB,2687,Agnes Padan,Bebas,55,680,Baru Bian,PSB
N82,Bukit Sari,"Awang Tengah bin Ali Hassan, Datuk Amar Haji",GPS (PBB),6385,Riyah bin Basrah,PBK,749,5636,"Awang Tengah bin Ali Hassan, Datuk Amar Haji",GPS (PBB)
N82,Bukit Sari,"Awang Tengah bin Ali Hassan, Datuk Amar Haji",GPS (PBB),6385,Alias bin Mail,PSB,165,5636,"Awang Tengah bin Ali Hassan, Datuk Amar Haji",GPS (PBB)
