D_code,D_name,Nama_Pemenang,Parti_Pemenang,Undi_Menang,Oppo.Nama,Oppo.Parti,Oppo.Undi,Majoriti,Penyandang.Nama,Penyandang.Parti
N34,Batang Ai,"Malcom Mussen ak. Lamoh, Datuk Dr.",GPS (PRS),3208,John Linang ak. Mereejon,Bebas,2470,738,"Malcom Mussen ak. Lamoh, Datuk Dr.",GPS (PRS)
N34,Batang Ai,"Malcom Mussen ak. Lamoh, Datuk Dr.",GPS (PRS),3208,"William @ Nyallau ak. Badak, Datuk",PSB,1366,738,"Malcom Mussen ak. Lamoh, Datuk Dr.",GPS (PRS)
N34,Batang Ai,"Malcom Mussen ak. Lamoh, Datuk Dr.",GPS (PRS),3208,Usop ak. Asun,PBK,151,738,"Malcom Mussen ak. Lamoh, Datuk Dr.",GPS (PRS)
N35,Saribas,Ricky @ Mohamad Razi bin Sitam,GPS (PBB),5138,Patek @ Patrick Haji Kamis,PKR,1902,3236,Ricky @ Mohamad Razi bin Sitam,GPS (PBB)
N35,Saribas,Ricky @ Mohamad Razi bin Sitam,GPS (PBB),5138,Melainie bin Bolhassan,PSB,668,3236,Ricky @ Mohamad Razi bin Sitam,GPS (PBB)
N35,Saribas,Ricky @ Mohamad Razi bin Sitam,GPS (PBB),5138,Sim Min Leong,PBK,74,3236,Ricky @ Mohamad Razi bin Sitam,GPS (PBB)
N35,Saribas,Ricky @ Mohamad Razi bin Sitam,GPS (PBB),5138,Kurnaen bin Boben,SEDAR,60,3236,Ricky @ Mohamad Razi bin Sitam,GPS (PBB)
N36,Layar,"Gerald Rentap Jabu, Datuk",GPS (PBB),3891,Isik ak. Utau,PSB,1852,2039,"Gerald Rentap Jabu, Datuk",GPS (PBB)
N37,Bukit Saban,"Douglas Uggah Embas, Datuk Amar",GPS (PBB),5373,Andria Gelayan ak. Dundang,PSB,1385,3988,"Douglas Uggah Embas, Datuk Amar",GPS (PBB)
N37,Bukit Saban,"Douglas Uggah Embas, Datuk Amar",GPS (PBB),5373,Mikail Mathew Abdullah,PKR,136,3988,"Douglas Uggah Embas, Datuk Amar",GPS (PBB)
N38,Kalaka,Mohamad bin Duri,GPS (PBB),3893,John Antau ak. Linggang,PSB,1025,2868,"Abdul Wahab Aziz, Datuk Haji",GPS (PBB)
N38,Kalaka,Mohamad bin Duri,GPS (PBB),3893,Linang ak. Chapum,PBK,457,2868,"Abdul Wahab Aziz, Datuk Haji",GPS (PBB)
N39,Krian,Friday ak. Belik,GPS (PDP),3885,Musa ak. Dinggat,PSB,2953,932,"Ali ak. Biju, Datuk",BERSATU
N39,Krian,Friday ak. Belik,GPS (PDP),3885,"Ali ak. Biju, Datuk",Bebas,1777,932,"Ali ak. Biju, Datuk",BERSATU
N39,Krian,Friday ak. Belik,GPS (PDP),3885,Danny Kuan Sam Sui,PBK,282,932,"Ali ak. Biju, Datuk",BERSATU
N40,Kabong,Mohamad Chee bin Kadir,GPS (PBB),4789,Wan Mohamad Madehi bin Wan Ali,PSB,2026,2763,Mohamad Chee Kadir,GPS (PBB)
